,区分,メニュー名称,卵,乳成分,小麦,えび,かに,そば,落花生,くるみ,アーモンド,あわび,いか,いくら,オレンジ,カシューナッツ,キウイフルーツ,牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン
189,寿司,スタミナ豚キム,,○,●,○,○,,,,,,,,,,,○,●,,○,●,○,,●,,●,,●,
190,寿司,炭焼きかつおたたき,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
191,寿司,駿河湾産生桜えび軍艦,,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
192,寿司,駿河湾産生しらす軍艦,,,○,●,●,,,,,,●,,,,,○,,,●,○,,,○,,,,○,
193,寿司,駿河湾盛り,,,○,●,●,,,,,,●,,,,,○,,,●,○,,,○,,,,○,
194,寿司,ずわい蟹のかにみそ和え,,○,●,○,●,,,,,,,,,,,○,,,,●,,,○,,,,○,
195,寿司,創作スタミナかつおたたき,●,○,○,,,,,,,,,,,,,○,○,,○,●,○,,○,,,,●,
196,寿司,鯛胡麻漬け包み,,,●,○,○,,,,,,○,,,,,○,●,○,○,●,○,,○,○,,,○,
197,寿司,匠の押し寿司 穴子包み,,,●,○,○,,,,,○,,,,,,○,○,○,○,●,○,,○,○,,,○,
198,寿司,匠の海鮮巻き重ね,●,○,●,●,○,,,,,,●,,,,,○,○,●,●,●,○,,○,,○,○,○,○
199,寿司,匠の香味にぎり 炙りさわら,,,●,,,,,,,,,,,,,○,●,,,●,,,○,,,,○,
200,寿司,匠の漬け活〆ブリヒラ,,,●,○,,,,,,,○,,,,,○,○,○,○,●,○,,○,○,,,○,
201,寿司,匠の漬け活〆真鯛,,,●,○,○,,,,,,○,,,,,○,○,○,○,●,○,,○,○,,,○,
202,寿司,匠の漬け大切りめばち鮪,,,●,○,,,,,,,○,,,,,○,●,○,,●,○,,○,○,,,○,
203,寿司,匠の漬けごま天然ぶり,,,●,○,,,,,,,,,,,,○,●,○,○,●,○,,○,○,,,○,
204,寿司,匠の漬けごまひらめ,,,●,○,○,,,,,,○,,,,,○,●,○,○,●,○,,○,○,,,○,
205,寿司,匠の漬けごま真鯛,,,●,○,○,,,,,,○,,,,,○,●,○,○,●,○,,○,○,,,○,
206,寿司,匠の漬け上赤身,,,●,○,,,,,,,○,,,,,○,●,○,,●,○,,○,○,,,○,
207,寿司,匠の漬けタマクエ,,,●,○,○,,,,,,○,,,,,○,○,○,○,●,○,,○,○,,,○,
208,寿司,匠の漬け天然インド鮪赤身,,,●,○,,,,,,,○,,,,,○,●,○,,●,○,,○,○,,,○,
209,寿司,匠の漬け天然本鮪赤身1貫,,,●,○,,,,,,,,,,,,○,●,,,●,○,,○,○,,,○,
210,寿司,匠の漬け生サーモン,○,○,●,○,○,,,,,,○,○,,,,○,○,●,○,●,○,,○,○,,,○,
211,寿司,活〆匠の漬けはまち,,,●,○,○,,,,,,○,,,,,○,○,○,○,●,○,,○,○,,,○,
212,寿司,匠の漬けまぐろ,,,●,○,,,,,,,○,,,,,○,●,○,,●,○,,○,○,,,○,
213,寿司,匠の漬けまぐろ(ミニしゃり),,,●,○,,,,,,,○,,,,,○,●,○,,●,○,,○,○,,,○,
214,寿司,匠の天然インド鮪漬け赤身1貫,,,●,○,,,,,,,○,,,,,○,●,○,,●,○,,○,○,,,○,
215,寿司,匠の煮穴子,,,●,○,,,,,,○,,,,,,○,,,○,●,,,○,,,,○,
216,寿司,匠の海苔で食べる鯛胡麻漬け・とろたく,○,○,●,○,○,,,,,,○,●,,,,○,●,○,●,●,○,,○,○,○,,○,
217,寿司,たこ,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
218,寿司,たこ(ミニしゃり),,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
219,寿司,たこ軍艦,,,○,○,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
220,寿司,ダブルほたて貝柱,,,○,,○,,,,,,○,○,,,,○,,○,○,○,,,○,,,,○,
221,寿司,たまご,●,○,●,,,,,,,,,,,,,○,○,○,●,●,○,,○,,,,○,
222,寿司,たまご(ミニしゃり),●,○,●,,,,,,,,,,,,,○,○,○,●,●,○,,○,,,,○,
223,寿司,たまごきゅうり巻,●,○,●,●,,,,,,,,,,,,○,○,○,●,●,○,,○,,,,○,
224,寿司,たらこ,,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
225,寿司,たら白子,,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
226,寿司,たらマヨ,●,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,●,
227,寿司,チャーシュー軍艦,,,○,○,,,,,,,,,,,,○,,,,○,,,●,,,,○,
228,寿司,中とろ包み,,,○,○,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
229,寿司,津久勝のたこ,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
230,寿司,漬けあおりいか軍艦,,,●,○,,,,,,,●,,,,,○,○,,,●,○,,○,○,,,○,
231,寿司,漬けいか軍艦,○,○,●,○,○,,,,,,●,○,,,,○,○,○,○,●,,,○,,,,○,
232,寿司,漬け上赤身,,,●,,,,,,,,○,,,,,○,,○,,●,,,○,,,,○,
233,寿司,ツナサラダ,●,●,●,○,,,,,,,,,,,,○,○,○,○,●,○,,○,,,,○,○
234,寿司,鉄火ときゅうり巻,,,○,○,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
235,寿司,鉄火巻,,,○,○,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
236,寿司,天然インド鮪赤身,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
